mined_at,invite_URL,joined_at,group_title,bypass
2018-09-26 19:02:21.756404,chat.whatsapp.com/invite/8qJAGc2TK038Hf3FmpNWCU,,ESQUERDA VS DIREITA💬,FALSE
2018-09-26 19:02:28.566878,chat.whatsapp.com/7XcTYtNxrTj5Knes9qeXBn,,UNBR - Simpatizantes,FALSE
2018-09-26 19:02:36.275057,chat.whatsapp.com/C97JZachx306ZGNXVBMo8u,,Resenha Política,FALSE
2018-09-26 19:02:47.575784,chat.whatsapp.com/3K3hhvWTjud4oTtT83hwIN,,XP♈♈,FALSE
2018-09-26 19:02:50.324650,chat.whatsapp.com/9nGonAo0ObVEU7li6vqX6L,,Inteligência Pernambucana,FALSE
2018-09-26 19:02:53.816518,chat.whatsapp.com/8t6O4PrvPNq6lvZyO4Zw6K,,Estratégia IPC - PPL,FALSE
2018-09-26 19:03:02.108804,chat.whatsapp.com/2Fuqdh8IOBm5m7EqIHU2FV,,Friends,FALSE
2018-09-26 19:03:05.673692,chat.whatsapp.com/3X59q3hDekjGirODk4vfZJ,,Meta capitalista,FALSE
2018-09-26 19:03:08.278452,chat.whatsapp.com/77GaL3i1WfJEXswCC9opBh,,Política na Bahia,FALSE
2018-09-26 19:03:10.822056,chat.whatsapp.com/invite/CQ67TA4pFve8Z9Ia7PGs2l,,Troca de ativ. história,FALSE
2018-09-26 19:03:13.549393,chat.whatsapp.com/5mKtkWxSEntBcUwXxP7AZs,,O POVO EM AÇÃO!,FALSE
2018-09-26 19:03:18.471514,chat.whatsapp.com/LaYFSCeuQrC4U9FobWwBom,,Filosofia em debate,FALSE
2018-09-26 19:03:27.307674,chat.whatsapp.com/34W9ZW9oHF9CuhHpLkhWqF,,Ékissa 2022🇧🇷,FALSE
2018-09-26 19:03:30.977528,chat.whatsapp.com/14Kc8jYntVX3tgRgYKc6w0,,IPC Juventude,FALSE
2018-09-26 19:03:44.463030,chat.whatsapp.com/Jj2CbrhBh1SDeI9BIm3dBb,,Debate eleição 2018 🎤🛡📢🔊🇧🇷,FALSE
2018-09-26 19:03:47.956614,chat.whatsapp.com/8qi3Ly3CBto3YMAvLzi3N7,,História política,FALSE
2018-09-26 19:03:51.579352,chat.whatsapp.com/CehgKjCkr57FY5wV2244St,,Filosofia e Política,FALSE
2018-09-26 19:03:57.314621,chat.whatsapp.com/37QQExTlqed8qbFWn10Q0K,,HOMOSSEXUAIS C/ BOLSONARO,FALSE
2018-09-26 19:03:59.569376,chat.whatsapp.com/8qJAGc2TK038Hf3FmpNWCU,,ESQUERDA VS DIREITA💬,FALSE
2018-09-26 19:04:04.365382,chat.whatsapp.com/4mRi5WcUzjj5ziwS0F7tvK,,"🇧🇷""Opressores"" 🇧🇷",FALSE
2018-09-26 19:04:09.779574,chat.whatsapp.com/8dtEYFiVirN58FLYDcSYOa,,Califórnia sem mitos 🇺🇸🌍😱,FALSE
2018-09-26 19:04:12.401161,chat.whatsapp.com/7ng9ObkrZdq5bv1LSlOLSP,,Just Speak In English 🇺🇸,FALSE
2018-09-26 19:04:14.847718,chat.whatsapp.com/3VI2Fx32XZBGJAejmurJGN,,PLANO B///,FALSE
2018-09-26 19:04:17.791089,chat.whatsapp.com/invite/9z5nqBRMT5D10QimgRNVVu,,Liberais de boa estirpe 💚,FALSE
2018-09-26 19:04:20.609971,chat.whatsapp.com/AgYJfAtQwiMBXbRTEDdgAY,,🚩 U.R.S.A.L 🚩,FALSE
2018-09-26 19:04:27.913298,chat.whatsapp.com/BxWOhzeUDnu1LQdg44kX9H,,🇧🇷California - USA🇺🇸,FALSE
2018-09-26 19:04:32.653150,chat.whatsapp.com/FjPG2MUeXBAFfyLIm240Zb,,Política e sociologia,FALSE
2018-09-26 19:04:39.595604,chat.whatsapp.com/6tQzqsAoRyPKDEdD6nI1TT,,BOULOS CAPITALISTA,FALSE
2018-09-26 19:04:51.755337,chat.whatsapp.com/4Dz1dBrZipsELBLK98V1gu,,Cabo Dadeloco Presidento,FALSE
2018-09-26 19:04:57.590930,chat.whatsapp.com/6SxDNlbfoUcDGZz1IdWn2D,,História por amor📚👨🏻‍🎓👩🏻‍🎓❤,FALSE
2018-09-26 19:05:05.797994,chat.whatsapp.com/9M85Z1QQMHd8VITcWa4xkt,,Política,FALSE
2018-09-26 19:05:13.533850,chat.whatsapp.com/09xKXvd3KVM16z2a0l9yZ3,,Sobre Política,FALSE
2018-09-26 19:05:17.078268,chat.whatsapp.com/5hmQyuCcC7D7OOa1ImJmUa,,🇯🇵最高の ANIM3S,FALSE
2018-09-27 13:30:02.881026,chat.whatsapp.com/invite/GUgqdELuW7p3YuaW3fXxeR,,#EleNão,FALSE
2018-09-27 13:30:09.362968,chat.whatsapp.com/invite/9y7JlEnce458letG8Jwdta,,migos do #EleNão 🏳‍🌈🇧🇷,FALSE
2018-09-27 13:30:16.788313,chat.whatsapp.com/invite/F3bGwUfY4dE11qWE8fKa8j,,#ElesporElas #EleNão 💪🏼,FALSE
